numero_expedient,codi_districte,nom_districte,codi_barri,nom_barri,codi_carrer,nom_carrer,num_postal,descripcio_dia_setmana,nk_Any,mes_any,nom_mes,dia_mes,hora_dia,descripcio_torn,longitud,latitud,causa,_id,etl_fecha_ingesta
2023S004984    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,Meridiana,0187 0187,Dimarts,2023,8,Agost,15,23,Nit,2.186892134,41.413520581,Gir indegut o sense precaució,14,2026-05-11 10:16:15.963225
2023S003695    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,0293 0293,Dimarts,2023,6,Juny,20,16,Tarda,2.186487885,41.415454425,Altres,15,2026-05-11 10:16:15.963225
2023S003891    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,0295 0295,Dimecres,2023,6,Juny,28,16,Tarda,2.186890129,41.415285043,Manca d'atenció a la conducció,16,2026-05-11 10:16:15.963225
2023S005526    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161101,Independència,0388 0392,Dimarts,2023,9,Setembre,19,12,Matí,2.177294241,41.412562734,Desconegut,17,2026-05-11 10:16:15.963225
2023S002728    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall,0020 0022,Dilluns,2023,5,Maig,8,9,Matí,2.18107072,41.41444799,Altres,18,2026-05-11 10:16:15.963225
2023S000172    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall,0052 0054,Dimarts,2023,1,Gener,10,17,Tarda,2.180452515,41.415786967,Desconegut,19,2026-05-11 10:16:15.963225
2023S000944    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret,0356 0356,Dimecres,2023,2,Febrer,15,20,Tarda,2.180963306,41.416027499,Altres,20,2026-05-11 10:16:15.963225
2023S002482    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0224 0224,Dijous,2023,4,Abril,27,20,Tarda,2.177732887,41.412097208,Desobeir altres senyals,21,2026-05-11 10:16:15.963225
2023S003507    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,90502,Còrsega,0691B0691B,Dilluns,2023,6,Juny,12,17,Tarda,2.179927818,41.412045215,Avançament defectuós/improcedent,22,2026-05-11 10:16:15.963225
2023S000417    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,161101,Independència,0303 0303,Dissabte,2023,1,Gener,21,16,Tarda,2.182278336,41.408628456,Desobeir semàfor,23,2026-05-11 10:16:15.963225
2023S007343    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Mallorca,0518 0518,Dilluns,2023,12,Desembre,11,22,Nit,2.181122636,41.407745976,Desobeir semàfor,24,2026-05-11 10:16:15.963225
