Data,Descripcio_torn,temperature_2m,precipitation,rain,wind_speed_10m,weather_code
2022-01-01,Matí,9.525,0.0,0.0,7.125,0
2022-01-01,Nit,7.8875,0.0,0.0,5.8,0
2022-01-01,Tarda,13.3,0.0,0.0,8.3,3
2022-01-02,Matí,7.7125,0.0,0.0,4.4625,3
2022-01-02,Nit,7.65,0.0,0.0,6.35,3
2022-01-02,Tarda,11.7125,0.0,0.0,6.6875,3
2022-01-03,Matí,8.775,0.0,0.0,5.6875,3
2022-01-03,Nit,8.0,0.0,0.0,5.8375,3
2022-01-03,Tarda,13.3875,0.0,0.0,12.2125,3
2022-01-04,Matí,10.6875,0.0,0.0,10.225,3
2022-01-04,Nit,9.15,0.0,0.0,8.65,3
2022-01-04,Tarda,14.9375,0.0,0.0,10.5125,3
2022-01-05,Matí,10.2125,1.8,1.8,12.025,53
2022-01-05,Nit,9.1125,2.1,2.1,10.7375,61
2022-01-05,Tarda,10.8625,0.0,0.0,8.625,2
2022-01-06,Matí,4.4125,0.0,0.0,12.7125,0
2022-01-06,Nit,4.2875,0.0,0.0,9.5375,1
2022-01-06,Tarda,9.0375,0.0,0.0,11.475,0
2022-01-07,Matí,3.0625,0.0,0.0,9.1125,1
2022-01-07,Nit,2.7375,0.0,0.0,11.8875,3
2022-01-07,Tarda,9.2375,0.0,0.0,5.987500000000001,2
2022-01-08,Matí,6.9875,0.0,0.0,11.0625,3
2022-01-08,Nit,5.375,0.0,0.0,10.2125,3
2022-01-08,Tarda,11.0,0.0,0.0,11.225,3
2022-01-09,Matí,10.6,0.0,0.0,20.725,3
2022-01-09,Nit,8.05,0.0,0.0,11.5875,3
2022-01-09,Tarda,12.5375,0.0,0.0,14.725,3
2022-01-10,Matí,9.7,1.1,1.1,5.65,51
2022-01-10,Nit,8.65,0.2,0.2,5.9625,51
2022-01-10,Tarda,9.775,1.5,1.5,4.4875,51
2022-01-11,Matí,6.875,0.0,0.0,7.65,3
2022-01-11,Nit,9.675,0.4,0.4,5.475,51
2022-01-11,Tarda,12.6875,0.0,0.0,5.6125,1
2022-01-12,Matí,8.0625,0.0,0.0,7.4375,2
2022-01-12,Nit,9.275,0.1,0.1,6.3,51
2022-01-12,Tarda,10.9,0.0,0.0,11.775,2
2022-01-13,Matí,3.9625,0.0,0.0,6.7625,0
2022-01-13,Nit,3.675,0.0,0.0,7.0,0
2022-01-13,Tarda,10.525,0.0,0.0,4.4625,0
2022-01-14,Matí,4.6,0.0,0.0,8.5875,0
2022-01-14,Nit,2.8875,0.0,0.0,9.025,0
2022-01-14,Tarda,10.5125,0.0,0.0,5.775,0
2022-01-15,Matí,4.6125,0.0,0.0,13.6375,0
2022-01-15,Nit,2.575,0.0,0.0,11.9125,0
2022-01-15,Tarda,10.200000000000001,0.0,0.0,7.9875,0
2022-01-16,Matí,3.95,0.0,0.0,8.5625,0
2022-01-16,Nit,1.9,0.0,0.0,11.6875,0
2022-01-16,Tarda,10.35,0.0,0.0,5.4875,0
2022-01-17,Matí,4.65,0.0,0.0,12.5375,3
2022-01-17,Nit,2.7875,0.0,0.0,12.875,0
2022-01-17,Tarda,11.1875,0.0,0.0,9.5,0
2022-01-18,Matí,5.25,0.0,0.0,11.4625,0
2022-01-18,Nit,3.1125,0.0,0.0,12.1625,0
2022-01-18,Tarda,10.15,0.0,0.0,10.6875,0
2022-01-19,Matí,3.8875,0.0,0.0,6.9375,3
2022-01-19,Nit,3.9375,0.1,0.1,6.375,51
